snf_grant_number;year;research_area;amount_granted;role;research_institution;research_institution_type;country;iso_code;continent;partner_budget;world_region;person_id
212304;2022;Biology and Medicine;NA;Projektpartner;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;11642
197754;2020;Biology and Medicine;NA;Projektpartner;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;6276
173197;2017;Biology and Medicine;NA;Projektpartner;University of Lausanne – LA;Cantonal University;Switzerland;CH;Europe;NA;Europe;602
192176;2020;Humanities and Social Sciences;994063;Applicant;University of Basel – BS;Cantonal University;Switzerland;CH;Europe;NA;Europe;1573
172586;2017;"Mathematics, Natural and
Engineering Sciences";522969;Applicant;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;11016
188525;2019;Biology and Medicine;NA;Projektpartner;NA;NA;Germany;DE;Europe;NA;Europe;3613
179038;2018;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;1792
184668;2019;Biology and Medicine;441000;Applicant;University of Fribourg – FR;Cantonal University;Switzerland;CH;Europe;NA;Europe;8025
172952;2017;Biology and Medicine;429000;Applicant;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;7837
212289;2022;Humanities and Social Sciences;NA;Projektpartner;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;9500
188869;2019;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Germany;DE;Europe;NA;Europe;12019
182845;2018;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Netherlands;NL;Europe;NA;Europe;5721
201184;2021;Biology and Medicine;681000;Co-applicants;University of Applied Sciences and Arts Northwestern Switzerland (without UTE) – FHNW;University of Applied Sciences;Switzerland;CH;Europe;NA;Europe;5980
212581;2022;Biology and Medicine;NA;Projektpartner;University of Applied Sciences and Arts Western Switzerland – HES-SO;University of Applied Sciences;Switzerland;CH;Europe;NA;Europe;12461
176174;2017;Biology and Medicine;787667;Applicant;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;8226
192584;2020;Humanities and Social Sciences;381964;Applicant;University of Lausanne – LA;Cantonal University;Switzerland;CH;Europe;NA;Europe;5319
197393;2020;Humanities and Social Sciences;583158;Applicant;University of Lausanne – LA;Cantonal University;Switzerland;CH;Europe;NA;Europe;11790
172793;2017;Biology and Medicine;NA;Projektpartner;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;10061
212554;2022;Biology and Medicine;NA;Projektpartner;NA;NA;Spain;ES;Europe;NA;Europe;3818
179532;2018;Biology and Medicine;NA;Projektpartner;NA;NA;Madagascar;MG;Africa;NA;Africa;11293
175839;2017;Biology and Medicine;800000;Applicant;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;14864
197449;2020;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Belgium;BE;Europe;NA;Europe;12150
197787;2020;Biology and Medicine;NA;Projektpartner;NA;NA;Singapore;SG;Asia;NA;Asia;3749
175524;2017;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;11723
212620;2022;Biology and Medicine;NA;Projektpartner;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;1970
192853;2020;Humanities and Social Sciences;NA;Projektpartner;Non-profit organisations (libraries, museums, foundations) and administration – NPO;Other research institutions;NA;NA;NA;NA;NA;2904
173159;2017;Humanities and Social Sciences;561595;Applicant;University of Fribourg – FR;Cantonal University;Switzerland;CH;Europe;NA;Europe;3340
192497;2020;Humanities and Social Sciences;390906;Applicant;University of Neuchatel – NE;Cantonal University;Switzerland;CH;Europe;NA;Europe;9561
179382;2018;Biology and Medicine;NA;Projektpartner;NA;NA;United States of America;US;North America;NA;North America;10905
173206;2017;Biology and Medicine;NA;Projektpartner;University of Geneva – GE;Cantonal University;Switzerland;CH;Europe;NA;Europe;7193
176023;2017;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;Other Hospitals – ASPIT;Other research institutions;Switzerland;CH;Europe;NA;Europe;9770
197194;2020;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;16378
175820;2017;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;Swiss Federal Institute of Aquatic Science and Technology – EAWAG;ETH domain;Switzerland;CH;Europe;NA;Europe;12352
172667;2017;Humanities and Social Sciences;957982;Applicant;Graduate Institute of International and Development Studies – IHEID;Other research institutions;Switzerland;CH;Europe;NA;Europe;14324
207410;2022;"Mathematics, Natural and
Engineering Sciences";721457;Applicant;University of Geneva – GE;Cantonal University;Switzerland;CH;Europe;NA;Europe;12890
207428;2022;"Mathematics, Natural and
Engineering Sciences";682545;Applicant;University of Applied Sciences and Arts Western Switzerland – HES-SO;University of Applied Sciences;Switzerland;CH;Europe;NA;Europe;13552
204235;2021;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;United States of America;US;North America;NA;North America;3384
212841;2022;Biology and Medicine;NA;Projektpartner;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;15932
201268;2021;Biology and Medicine;681000;Applicant;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;999
176123;2017;Biology and Medicine;525000;Applicant;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;14774
175449;2017;"Mathematics, Natural and
Engineering Sciences";579830;Applicant;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;14103
182766;2018;Biology and Medicine;NA;Projektpartner;Unassignable – NA;Other research institutions;Switzerland;CH;Europe;NA;Europe;13830
201106;2021;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;United Kingdom;GB;Europe;NA;Europe;9875
175752;2017;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;Poland;PL;Europe;NA;Europe;4487
197393;2020;Humanities and Social Sciences;NA;Projektpartner;Unassignable – NA;Other research institutions;Switzerland;CH;Europe;NA;Europe;1247
173047;2017;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Poland;PL;Europe;NA;Europe;8615
176222;2017;Biology and Medicine;NA;Projektpartner;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;8151
212914;2022;Humanities and Social Sciences;646330;Applicant;EPF Lausanne – EPFL;ETH domain;Switzerland;CH;Europe;NA;Europe;6154
184959;2019;Biology and Medicine;NA;Projektpartner;Other Hospitals – ASPIT;Other research institutions;Switzerland;CH;Europe;NA;Europe;10064
212312;2022;Biology and Medicine;NA;Projektpartner;NA;NA;Germany;DE;Europe;NA;Europe;4784
192048;2020;Biology and Medicine;NA;Projektpartner;NA;NA;Kyrgyzstan;KG;Asia;NA;Asia;5533
212589;2022;Biology and Medicine;NA;Projektpartner;University of Basel – BS;Cantonal University;Switzerland;CH;Europe;NA;Europe;4557
189017;2019;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Germany;DE;Europe;NA;Europe;9224
207772;2022;"Mathematics, Natural and
Engineering Sciences";975522;Applicant;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;12001
182566;2018;Humanities and Social Sciences;377078;Co-applicants;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;16083
182404;2018;Biology and Medicine;NA;Projektpartner;NA;NA;Germany;DE;Europe;NA;Europe;16617
212664;2022;Biology and Medicine;NA;Projektpartner;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;10231
207762;2022;Biology and Medicine;304184;Applicant;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;9396
175984;2017;Biology and Medicine;NA;Projektpartner;NA;NA;Germany;DE;Europe;NA;Europe;14304
179442;2018;Humanities and Social Sciences;NA;Projektpartner;University of Geneva – GE;Cantonal University;Switzerland;CH;Europe;NA;Europe;4283
173076;2017;Biology and Medicine;NA;Projektpartner;NA;NA;Austria;AT;Europe;NA;Europe;2160
201138;2021;Humanities and Social Sciences;NA;Projektpartner;NA;NA;United States of America;US;North America;NA;North America;3192
172476;2017;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;2929
212210;2022;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;Swiss Federal Institute of Aquatic Science and Technology – EAWAG;ETH domain;Switzerland;CH;Europe;NA;Europe;10695
201231;2021;Biology and Medicine;NA;Projektpartner;NA;NA;Germany;DE;Europe;NA;Europe;3905
172476;2017;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;1659
200886;2021;Biology and Medicine;497723;Applicant;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;15288
212378;2022;Humanities and Social Sciences;NA;Projektpartner;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;7653
189133;2019;Humanities and Social Sciences;523001;Applicant;Pädagogische Hochschule der Fachhochschule Nordwestschweiz – PH-FHNW;University of Teacher Education;Switzerland;CH;Europe;NA;Europe;2239
176061;2017;Biology and Medicine;599960;Applicant;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;7008
179434;2018;Biology and Medicine;NA;Projektpartner;NA;NA;Netherlands;NL;Europe;NA;Europe;7683
184792;2019;Biology and Medicine;672000;Applicant;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;2006
172965;2017;Biology and Medicine;316000;Applicant;University of Applied Sciences and Arts Northwestern Switzerland (without UTE) – FHNW;University of Applied Sciences;Switzerland;CH;Europe;NA;Europe;650
172958;2017;Biology and Medicine;NA;Projektpartner;NA;NA;France;FR;Europe;NA;Europe;11833
212940;2022;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;11789
188549;2019;Biology and Medicine;494913;Applicant;University of Fribourg – FR;Cantonal University;Switzerland;CH;Europe;NA;Europe;9544
176400;2017;Biology and Medicine;1038767;Applicant;University of Basel – BS;Cantonal University;Switzerland;CH;Europe;NA;Europe;14170
189230;2019;Humanities and Social Sciences;628110;Applicant;Università della Svizzera italiana – USI;Cantonal University;Switzerland;CH;Europe;NA;Europe;9732
197082;2020;Biology and Medicine;812000;Applicant;EPF Lausanne – EPFL;ETH domain;Switzerland;CH;Europe;NA;Europe;6601
212583;2022;Biology and Medicine;NA;Projektpartner;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;4235
192304;2020;Humanities and Social Sciences;448384;Applicant;University of Lausanne – LA;Cantonal University;Switzerland;CH;Europe;NA;Europe;987
201106;2021;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;Italy;IT;Europe;NA;Europe;13413
212240;2022;Biology and Medicine;750000;Applicant;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;3480
178788;2018;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;Paul Scherrer Institute – PSI;ETH domain;Switzerland;CH;Europe;NA;Europe;3256
200831;2021;Humanities and Social Sciences;NA;Projektpartner;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;6701
185356;2019;Humanities and Social Sciences;234863;Applicant;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;13936
178931;2018;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;5200
201068;2021;Humanities and Social Sciences;NA;Projektpartner;NA;NA;France;FR;Europe;NA;Europe;5852
212253;2022;Biology and Medicine;NA;Projektpartner;NA;NA;Italy;IT;Europe;NA;Europe;6316
208263;2022;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Netherlands;NL;Europe;NA;Europe;1753
182381;2018;Humanities and Social Sciences;NA;Projektpartner;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;14282
201184;2021;Biology and Medicine;NA;Projektpartner;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;15787
212822;2022;Humanities and Social Sciences;149011;Applicant;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;7463
173130;2017;Biology and Medicine;NA;Projektpartner;Other Hospitals – ASPIT;Other research institutions;Switzerland;CH;Europe;NA;Europe;10337
184662;2019;Biology and Medicine;NA;Projektpartner;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;16189
179377;2018;Biology and Medicine;800000;Applicant;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;11670
188869;2019;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Germany;DE;Europe;NA;Europe;1276
188430;2019;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;United States of America;US;North America;NA;North America;15920
200683;2021;Biology and Medicine;NA;Projektpartner;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;11282
176235;2017;Biology and Medicine;678000;Applicant;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;16062
182252;2018;Humanities and Social Sciences;377807;Co-applicants;University of St.Gallen – SG;Cantonal University;Switzerland;CH;Europe;NA;Europe;9974
185163;2019;Biology and Medicine;622633;Applicant;University of Basel – BS;Cantonal University;Switzerland;CH;Europe;NA;Europe;14694
175701;2017;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;Italy;IT;Europe;NA;Europe;10804
185331;2019;Humanities and Social Sciences;NA;Projektpartner;Berne University of Applied Sciences – BFH;University of Applied Sciences;Switzerland;CH;Europe;NA;Europe;492
201074;2021;Humanities and Social Sciences;831514;Applicant;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;1536
179070;2018;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Germany;DE;Europe;NA;Europe;4094
213036;2022;Biology and Medicine;NA;Projektpartner;Other Research Institutes – FINST;Other research institutions;Switzerland;CH;Europe;NA;Europe;9412
185241;2019;Biology and Medicine;NA;Projektpartner;NA;NA;Saudi Arabia;SA;Asia;NA;Asia;2777
185323;2019;Biology and Medicine;350344;Applicant;Swiss Federal Institute of Aquatic Science and Technology – EAWAG;ETH domain;Switzerland;CH;Europe;NA;Europe;7821
182109;2018;"Mathematics, Natural and
Engineering Sciences";271053;Applicant;Università della Svizzera italiana – USI;Cantonal University;Switzerland;CH;Europe;NA;Europe;12555
182420;2018;Biology and Medicine;NA;Projektpartner;University of Geneva – GE;Cantonal University;Switzerland;CH;Europe;NA;Europe;14426
200892;2021;Humanities and Social Sciences;598644;Applicant;University of Applied Sciences and Arts Western Switzerland – HES-SO;University of Applied Sciences;Switzerland;CH;Europe;NA;Europe;6055
182674;2018;Biology and Medicine;324596;Applicant;Institute Friedrich Miescher – FMI;Other research institutions;Switzerland;CH;Europe;NA;Europe;10840
182213;2018;Biology and Medicine;NA;Projektpartner;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;2949
184647;2019;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;Austria;AT;Europe;NA;Europe;2019
188757;2019;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;Italy;IT;Europe;NA;Europe;8694
212461;2022;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Austria;AT;Europe;NA;Europe;742
184748;2019;Biology and Medicine;588000;Applicant;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;6672
204256;2021;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;United States of America;US;North America;NA;North America;11145
178825;2018;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;Germany;DE;Europe;NA;Europe;5239
184768;2019;Biology and Medicine;NA;Projektpartner;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;8623
182113;2018;Humanities and Social Sciences;NA;Projektpartner;University of Basel – BS;Cantonal University;Switzerland;CH;Europe;NA;Europe;16201
189334;2019;Biology and Medicine;424009;Applicant;Swiss Institute of Allergy and Asthma Research – SIAF;Other research institutions;Switzerland;CH;Europe;NA;Europe;7862
200321;2021;Biology and Medicine;632000;Applicant;University of Lausanne – LA;Cantonal University;Switzerland;CH;Europe;NA;Europe;13695
173044;2017;Biology and Medicine;456055;Applicant;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;1440
205111;2021;Biology and Medicine;NA;Projektpartner;University of Geneva – GE;Cantonal University;Switzerland;CH;Europe;NA;Europe;11635
212179;2022;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;EPF Lausanne – EPFL;ETH domain;Switzerland;CH;Europe;NA;Europe;16433
192854;2020;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Italy;IT;Europe;NA;Europe;1009
173322;2017;Humanities and Social Sciences;NA;Projektpartner;NA;NA;United States of America;US;North America;NA;North America;4723
188637;2019;"Mathematics, Natural and
Engineering Sciences";688954;Co-applicants;University of Geneva – GE;Cantonal University;Switzerland;CH;Europe;NA;Europe;872
204446;2021;Humanities and Social Sciences;679784;Applicant;Swiss Federal Institute for Forest, Snow and Landscape Research  – WSL;ETH domain;Switzerland;CH;Europe;NA;Europe;9152
178965;2018;Humanities and Social Sciences;533322;Applicant;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;12266
176445;2017;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Netherlands;NL;Europe;NA;Europe;15001
176378;2017;Humanities and Social Sciences;806781;Applicant;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;9697
192296;2020;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;12285
182293;2018;Humanities and Social Sciences;173952;Applicant;University of Lausanne – LA;Cantonal University;Switzerland;CH;Europe;NA;Europe;9281
185159;2019;Humanities and Social Sciences;315404;Applicant;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;6935
182536;2018;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;7343
204554;2021;Humanities and Social Sciences;NA;Projektpartner;University of Lausanne – LA;Cantonal University;Switzerland;CH;Europe;NA;Europe;4112
182656;2018;Biology and Medicine;863800;Applicant;EPF Lausanne – EPFL;ETH domain;Switzerland;CH;Europe;NA;Europe;1393
204406;2021;Humanities and Social Sciences;NA;Projektpartner;University of Basel – BS;Cantonal University;Switzerland;CH;Europe;NA;Europe;5250
176124;2017;Biology and Medicine;700000;Applicant;Università della Svizzera italiana – USI;Cantonal University;Switzerland;CH;Europe;NA;Europe;10099
204161;2021;Biology and Medicine;908000;Applicant;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;2458
172805;2017;"Mathematics, Natural and
Engineering Sciences";412798;Applicant;Zurich University of Applied Sciences – ZHAW;University of Applied Sciences;Switzerland;CH;Europe;NA;Europe;10157
201086;2021;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;France;FR;Europe;NA;Europe;4041
189145;2019;Biology and Medicine;NA;Projektpartner;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;10950
192069;2020;Biology and Medicine;290000;Applicant;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;3293
212427;2022;Humanities and Social Sciences;NA;Projektpartner;Non-profit organisations (libraries, museums, foundations) and administration – NPO;Other research institutions;Switzerland;CH;Europe;NA;Europe;12796
185049;2019;"Mathematics, Natural and
Engineering Sciences";780443;Applicant;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;2383
200642;2021;"Mathematics, Natural and
Engineering Sciences";1802539;Applicant;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;13928
173144;2017;Biology and Medicine;NA;Projektpartner;University of Geneva – GE;Cantonal University;Switzerland;CH;Europe;NA;Europe;4369
197293;2020;"Mathematics, Natural and
Engineering Sciences";850464;Applicant;Other Research Institutes – FINST;Other research institutions;Switzerland;CH;Europe;NA;Europe;15309
175617;2017;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Netherlands;NL;Europe;NA;Europe;7468
182096;2018;"Mathematics, Natural and
Engineering Sciences";317870;Applicant;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;7362
192703;2020;Humanities and Social Sciences;1187125;Applicant;University of Geneva – GE;Cantonal University;Switzerland;CH;Europe;NA;Europe;12404
213170;2022;Humanities and Social Sciences;319661;Applicant;University of Geneva – GE;Cantonal University;Switzerland;CH;Europe;NA;Europe;14910
192228;2020;Humanities and Social Sciences;340470;Applicant;University of Basel – BS;Cantonal University;Switzerland;CH;Europe;NA;Europe;697
182653;2018;"Mathematics, Natural and
Engineering Sciences";928142;Applicant;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;1047
172481;2017;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;United States of America;US;North America;NA;North America;13178
188754;2019;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;Swiss Center for Electronics and Microtech. – CSEM;Other research institutions;Switzerland;CH;Europe;NA;Europe;6710
185460;2019;Humanities and Social Sciences;NA;Projektpartner;University of Geneva – GE;Cantonal University;Switzerland;CH;Europe;NA;Europe;2385
212698;2022;Humanities and Social Sciences;413224;Applicant;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;9033
192203;2020;Humanities and Social Sciences;699121;Applicant;University of Fribourg – FR;Cantonal University;Switzerland;CH;Europe;NA;Europe;639
204840;2021;"Mathematics, Natural and
Engineering Sciences";354720;Applicant;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;7760
172812;2017;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Germany;DE;Europe;NA;Europe;12901
200753;2021;Humanities and Social Sciences;NA;Projektpartner;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;710
182389;2018;Biology and Medicine;496000;Co-applicants;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;3353
212655;2022;Biology and Medicine;NA;Projektpartner;Unassignable – NA;Other research institutions;Switzerland;CH;Europe;NA;Europe;5285
182350;2018;Biology and Medicine;NA;Projektpartner;University of Geneva – GE;Cantonal University;Switzerland;CH;Europe;NA;Europe;11735
182347;2018;Biology and Medicine;700000;Applicant;University of Geneva – GE;Cantonal University;Switzerland;CH;Europe;NA;Europe;4623
173137;2017;Biology and Medicine;NA;Projektpartner;NA;NA;Canada;CA;North America;NA;North America;2954
204920;2021;"Mathematics, Natural and
Engineering Sciences";932892;Co-applicants;NA;NA;Switzerland;CH;Europe;NA;Europe;7583
189050;2019;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Sweden;SE;Europe;NA;Europe;14380
204661;2021;Humanities and Social Sciences;NA;Projektpartner;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;9645
201044;2021;Humanities and Social Sciences;NA;Projektpartner;Unassignable – NA;Other research institutions;Switzerland;CH;Europe;NA;Europe;16586
172760;2017;"Mathematics, Natural and
Engineering Sciences";273052;Applicant;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;1192
189153;2019;Biology and Medicine;NA;Projektpartner;University of Geneva – GE;Cantonal University;Switzerland;CH;Europe;NA;Europe;3109
188820;2019;Biology and Medicine;NA;Projektpartner;NA;NA;Spain;ES;Europe;NA;Europe;11655
182047;2018;"Mathematics, Natural and
Engineering Sciences";600000;Applicant;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;1174
200811;2021;Humanities and Social Sciences;NA;Projektpartner;University of Lucerne – LU;Cantonal University;Switzerland;CH;Europe;NA;Europe;6752
188413;2019;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;Paul Scherrer Institute – PSI;ETH domain;Switzerland;CH;Europe;NA;Europe;5590
188476;2019;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;United States of America;US;North America;NA;North America;3346
212946;2022;"Mathematics, Natural and
Engineering Sciences";697368;Applicant;Swiss Federal Institute of Aquatic Science and Technology – EAWAG;ETH domain;Switzerland;CH;Europe;NA;Europe;6358
184932;2019;Biology and Medicine;NA;Projektpartner;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;10901
192387;2020;Humanities and Social Sciences;900000;Applicant;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;1714
188769;2019;"Mathematics, Natural and
Engineering Sciences";452796;Applicant;University of Geneva – GE;Cantonal University;Switzerland;CH;Europe;NA;Europe;9415
208152;2022;Biology and Medicine;649009;Applicant;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;3056
173169;2017;Biology and Medicine;NA;Projektpartner;University of Geneva – GE;Cantonal University;Switzerland;CH;Europe;NA;Europe;8283
205093;2021;Biology and Medicine;467875;Applicant;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;5231
212714;2022;Biology and Medicine;NA;Projektpartner;NA;NA;France;FR;Europe;NA;Europe;7874
179093;2018;Humanities and Social Sciences;231713;Applicant;University of Lausanne – LA;Cantonal University;Switzerland;CH;Europe;NA;Europe;1442
184734;2019;Biology and Medicine;821616;Applicant;University of Basel – BS;Cantonal University;Switzerland;CH;Europe;NA;Europe;15310
208056;2022;Biology and Medicine;1100000;Applicant;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;12498
188711;2019;"Mathematics, Natural and
Engineering Sciences";1031830;Applicant;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;15998
172621;2017;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;France;FR;Europe;NA;Europe;15560
197674;2020;Biology and Medicine;282964;Applicant;Paul Scherrer Institute – PSI;ETH domain;Switzerland;CH;Europe;NA;Europe;10145
172821;2017;Humanities and Social Sciences;174759;Co-applicants;University of St.Gallen – SG;Cantonal University;Switzerland;CH;Europe;NA;Europe;14089
212841;2022;Biology and Medicine;699428;Applicant;Paul Scherrer Institute – PSI;ETH domain;Switzerland;CH;Europe;NA;Europe;13908
204692;2021;Humanities and Social Sciences;NA;Projektpartner;Unassignable – NA;Other research institutions;Switzerland;CH;Europe;NA;Europe;1113
182148;2018;Humanities and Social Sciences;NA;Projektpartner;University of Geneva – GE;Cantonal University;Switzerland;CH;Europe;NA;Europe;12830
189242;2019;Biology and Medicine;700000;Applicant;University of Basel – BS;Cantonal University;Switzerland;CH;Europe;NA;Europe;12886
192436;2020;Humanities and Social Sciences;NA;Projektpartner;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;7401
212916;2022;Humanities and Social Sciences;1034255;Applicant;University of Geneva – GE;Cantonal University;Switzerland;CH;Europe;NA;Europe;16528
201276;2021;Biology and Medicine;NA;Projektpartner;NA;NA;France;FR;Europe;NA;Europe;1153
188470;2019;Biology and Medicine;525000;Applicant;University of Geneva – GE;Cantonal University;Switzerland;CH;Europe;NA;Europe;12232
204998;2021;Biology and Medicine;NA;Projektpartner;NA;NA;Brazil;BR;South America;NA;Latin America;16199
188795;2019;Humanities and Social Sciences;1090024;Applicant;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;12800
173198;2017;Humanities and Social Sciences;509970;Applicant;EPF Lausanne – EPFL;ETH domain;Switzerland;CH;Europe;NA;Europe;10108
